query_id;dop;predicted_time;actual_time;predicted_memory;actual_memory;Execution Time Q-error;Memory Q-error;Time Prediction Latency (s);Memory Prediction Latency (s)
10;96;16555.832;15654.4;16469234.0;16474112;0.05758330126034861;0.00029618863876734736;3.886222839355469e-05;7.176399230957031e-05
10;128;20761.506;21164.9;25711730.0;25790464;0.019429907606766772;0.0030621821246568093;3.9577484130859375e-05;5.793571472167969e-05
10;160;22417.717;22898.9;32040420.0;32322560;0.021464416179620915;0.008805752234209097;3.62396240234375e-05;5.030632019042969e-05
11;8;8573.836;8017.52;790323.0;790528;0.06938753348915871;0.0002593876174676879;3.695487976074219e-05;5.412101745605469e-05
11;16;9037.24;8170.62;980938.0;983040;0.10606541907162503;0.0021428469485329504;3.814697265625e-05;5.1021575927734375e-05
11;32;9334.553;8002.02;1003879.0;1006592;0.16652454434942676;0.002702516936802235;3.743171691894531e-05;4.696846008300781e-05
11;64;9536.285;8639.9;1418907.0;1421312;0.10374948277757845;0.001694966618672078;5.173683166503906e-05;5.53131103515625e-05
11;96;9608.527;10775.1;1839379.0;1841152;0.1214101406506185;0.0009639122769151687;3.814697265625e-05;5.125999450683594e-05
11;128;10123.4375;10387.0;2255054.0;2263040;0.026034881926223274;0.003541378610002255;3.814697265625e-05;4.744529724121094e-05
11;160;10348.805;10387.3;2680402.0;2688000;0.003719783459291248;0.0028346494294513302;4.3392181396484375e-05;7.43865966796875e-05
12;8;33265.465;33078.1;3109160.5;3110912;0.005664316987674667;0.000563335344058391;4.3392181396484375e-05;7.677078247070312e-05
12;16;19638.234;19579.2;3443551.5;3443712;0.0030151576673203007;4.660885716378793e-05;3.9577484130859375e-05;5.650520324707031e-05
12;32;14194.845;14428.7;4106019.5;4106240;0.016474662311726007;5.3701644622039524e-05;3.9577484130859375e-05;5.14984130859375e-05
12;64;16443.586;15107.7;5629555.0;5630976;0.08842417690978777;0.0002524178198810567;3.695487976074219e-05;5.14984130859375e-05
12;96;29893.953;26655.6;7295874.0;7321600;0.12148865998139224;0.0035261025615300756;4.267692565917969e-05;8.797645568847656e-05
12;128;35959.926;29799.8;9367775.0;9369600;0.20671701760582284;0.00019481680548483205;4.792213439941406e-05;8.153915405273438e-05
12;160;36145.492;37496.4;11792036.0;11794432;0.03737417118273956;0.00020318798212626277;4.4345855712890625e-05;6.198883056640625e-05
13;8;33758.324;31650.0;1473954.0;1540096;0.06661371939178506;0.044873856307591664;4.100799560546875e-05;7.843971252441406e-05
13;16;20680.639;18615.8;1663246.0;1943552;0.11091861063585773;0.1685294899251224;4.9114227294921875e-05;8.177757263183594e-05
13;32;13244.148;8656.97;2607111.0;2749440;0.5298826769065852;0.05459261228233081;4.6253204345703125e-05;6.961822509765625e-05
13;64;10489.004;7621.64;3764352.5;4726784;0.376213506049879;0.25566986619876864;3.9577484130859375e-05;5.91278076171875e-05
